@relation 'credit score dataset'

@attribute net_sales numeric
@attribute cost_of_goods_and_services numeric
@attribute cost_of_labor numeric
@attribute depreciation numeric
@attribute financial_expenses numeric
@attribute interest numeric
@attribute EBIT numeric
@attribute EBITDA numeric
@attribute net_income numeric
@attribute assets numeric
@attribute equity numeric
@attribute debt numeric
@attribute cash numeric
@attribute lt_assets numeric
@attribute st_assets numeric
@attribute total_oper_liabilities numeric
@attribute st_oper_liabilities numeric
@attribute lt_liabilities numeric
@attribute st_liabilities numeric
@attribute inventories numeric
@attribute FFO numeric
@attribute OCF numeric
@attribute credit_score {E,A}

@data
4410054,2788915,894178,508009,4734,4734,805837,1313846,793335,5604529,4019487,801890,340416,3922215,1671776,728365,616785,553220,977035,392201,1228401,1555298,A
13274244,1917078,1636945,6067885,0,0,2348823,8416708,2202312,272497696,269743456,26060,4386250,253023360,19470844,2408953,2408953,26060,2408953,34388,8270197,4927199,A
4816256,3937264,614006,167276,12380,12380,88716,255992,149846,2715914,1071831,371893,129176,1787696,924652,1270495,470495,970397,671991,70393,293185,362376,A
10215790,7232328,2003080,342864,1454,1454,605551,948415,516920,7004897,5018996,44350,742933,2031116,4754626,1652744,1652744,30040,1667054,522124,792014,2052919,A
21610566,16468802,3577268,535312,143611,143611,1429174,1964486,1081236,15678745,7917942,3788009,434802,6094867,9554890,3967340,3967340,3403328,4352021,6999547,1399755,763337,A
102895680,99004264,1972098,2226575,10403,10403,269036,2495611,1356288,35152492,15987277,0,3581630,2624964,32480212,18769290,18769290,0,18769290,1698,1568732,1368734,A
31960242,26898728,2892979,966624,41179,41179,1123037,2089661,1002998,15827926,6435255,5406379,1914543,8225726,7224856,2683816,2683816,0,8090195,2552814,1847763,4056675,A
5956679,4891838,691153,249185,66257,66257,235696,484881,173241,5100796,1326379,2588448,203105,3133555,1954949,1185884,1185884,1939635,1834697,810868,418919,-83237,A
6155991,3598192,2717249,658443,117856,117856,417381,1075824,320544,6129000,2104990,2891358,46598,4785684,1302883,901156,901156,1733589,2058925,83435,898763,827400,A
20878784,10096700,10235583,357736,293897,293897,193874,551610,257794,11671737,3705541,4115679,7978,5115535,6545104,2811441,2811441,1011121,5915999,54724,577344,1079531,E
3076053,2564895,454059,73113,31760,31760,8529,81642,9647,2790654,1603179,103578,110,1079887,1710767,906417,720090,363807,823668,1009220,75927,12831,A
2311175,1795635,456341,106456,130447,130447,-76924,29532,-195817,4467352,1131304,2946087,3176,2607720,1857580,389961,389961,2338479,997569,842061,-110722,272516,E
17585210,13256105,2546913,814393,74503,74503,1096909,1911302,964411,13681853,9297117,2274055,72210,7129158,6552695,1269368,1269368,690439,2879350,3646683,1753757,1468585,A
16764000,14429000,1563000,221000,435000,0,442000,663000,53000,15287000,5403000,3696000,3000,1371000,12328000,5974000,5974000,0,9670000,5593000,274000,-921000,E
80240968,71831464,6896658,1099537,90359,90359,158522,1258059,147622,25136578,2530594,5961731,5424355,6787112,17748780,16073463,16073463,4064112,17971082,7214962,1090850,1223850,E
2041590,1265289,784300,90593,39257,39257,78383,168976,45077,2430766,1143595,812982,40862,709126,1718234,470368,470368,224809,1058541,1217039,128798,233712,E
4238691,3524156,593283,97394,46949,46949,33558,130952,1029,2934860,120329,2302694,4348,2101305,826246,478160,478160,1369726,1411128,589045,96500,100200,E
5480960,3467051,1113762,346833,36929,36929,544192,891025,501044,5788007,3333622,1873057,330047,4299554,1487671,534969,534969,1532514,875512,237739,843407,755010,A
13030980,7657675,3765389,1026628,1895187,370697,316473,1343101,-1452175,13563891,4578416,5716640,265674,5927625,7620900,2927469,2927469,802006,7842103,4198382,-633036,717191,E
7472647,6683811,500610,179479,35721,35721,130833,310312,102445,3058495,996711,535605,20631,856704,2192358,1501925,1501925,76398,1961132,1013821,179201,94356,A
140857744,108466880,10804903,8112577,1188614,1188614,12704468,20817044,10142396,154977648,97076304,40000080,63550,101799272,52908788,15849398,15849398,40000000,15849480,17717040,17678044,11319317,A
11374385,10821487,343619,33906,79090,79090,172125,206031,97163,5289935,2280296,722643,3821,872534,4101497,2286996,2286996,33922,2975717,2805137,130441,546151,A
4165138,3215495,629390,114762,67660,67660,206519,321281,160624,5209009,2327787,1860092,84460,1409047,3799962,970181,970181,828205,2002068,3275146,265380,163609,A
15474676,9244385,4737475,1559647,31196,31196,218900,1778547,388822,12923721,7172281,1410174,3093673,6603288,6280296,3755614,2144737,2713083,2452705,137857,1327972,1263551,A
14122046,9370395,2908424,1290820,170643,170643,352632,1643452,325031,9573662,6503161,1501000,704319,4069116,5502211,1473361,1473361,0,2974361,2271413,1516559,2231899,A
21467152,14937537,4888797,1008087,614485,268603,983248,1991335,262382,25701846,13673711,7334368,898958,18626038,6951250,3283080,3275074,6733636,4899133,3129643,1151120,1253934,A
8908000,5709000,1856000,609000,145000,0,667000,1276000,473000,6659000,1627000,2274000,7000,4784000,1865000,2240000,2240000,299000,4215000,9000,473000,912000,A
8945226,7604232,1119278,918810,7650997,156278,-817067,101743,-8391765,2675730,-5435261,1294615,84698,434972,2224647,6248904,6236987,511917,7031602,109248,-8371918,-5977673,E
43081344,23425678,16711679,2048344,3516478,703179,1212267,3260611,-1038110,27143460,8570398,9677732,898233,18748980,8171105,3942927,3942927,4300332,9320327,1020083,740256,1949019,A
73374,398707,1238312,1040630,39396,39396,458121,1498751,419581,9896940,5711206,5000,155,9168581,728359,4180734,4180734,0,4185734,0,1460211,945308,A
4603096,3390106,891278,121048,3406,3406,42409,163457,78502,6275344,3255508,1786476,1332208,1736992,4538352,1057717,1057717,1602176,1242017,1537785,167915,1167092,A
11067590,9196540,1207635,841335,64270,52861,-183113,658222,-226270,11315742,5774055,2754088,534133,7121754,4183292,2575624,2575624,1761531,3568181,375803,575890,922779,E
5145154,3874660,1119112,78264,28392,28392,277031,355295,30516,2751875,745144,388054,166523,477659,2274216,1531051,1531051,0,1919105,241290,98500,-125554,E
3656938,3475790,2134912,585070,88035,88035,-688049,-102979,-766718,9410103,3562069,2530900,120369,7173387,2102737,1209632,1209632,1741020,1999512,954475,-222027,-56163,E
7202084,4662332,2496139,421738,32314,14988,-580677,-158939,-148839,5895210,4314811,1045,578947,3587676,2296789,870878,870878,0,871923,131160,261911,693188,E
2228281,1078249,703207,2264294,2294207,176386,-1903561,360733,-4093500,23998136,16698034,3269691,522705,19843654,4152784,1741320,959039,5336114,1927800,1081634,-3869137,-2639520,E
15146377,10137179,3876224,562796,227012,227012,634964,1197760,437518,10515065,2382394,2156655,1897482,4032444,6458675,5036867,3774174,3419348,3774174,2384903,688731,1955594,A
2993759,2357679,265586,517468,3311,3311,185719,703187,181236,2801462,508750,1057638,40763,1676521,1101603,1235074,769517,1491920,800792,111257,698704,436638,A
9435821,1385242,7774369,10578,162,162,201554,212132,162818,3313493,470602,0,1040542,61889,3166626,2796391,2796391,0,2796391,0,165610,697134,E
2313505,1495623,724677,56030,181867,181867,40466,96496,-154212,6217866,2516106,2304290,4889,2448013,3769853,1386063,1047046,1700078,1990275,2664162,-99148,525314,E
14497851,8849168,3917175,1475058,370777,370777,352513,1827571,86806,12480820,1990627,7149745,112125,9374090,3080529,3126471,3126471,5094251,5181965,857813,1554217,1525846,E
65786488,57867132,4673943,1187455,1387757,930537,3128380,4315835,1825123,51196828,19326440,12107354,982617,23959934,27207152,17231308,17231308,7549956,21788706,5406880,2882252,3302051,A
20972326,11352559,8626994,736700,19860,19860,357779,1094479,345491,5344672,1223387,0,824734,1450975,3870852,3351167,3274277,76890,3274277,286787,918652,928210,A
6776217,5237513,1886872,173668,79598,79598,-442805,-269137,-529571,4406901,862154,1684805,138897,3041400,1363761,1334994,1334994,1945466,1464064,511555,-373846,-583136,E
7856041,6809675,792240,129170,107895,104477,112656,241826,16586,6167070,2102463,1178669,53211,2056557,4083156,2885938,2885938,649837,3414770,3123682,130982,904778,E
48752964,43905480,4859387,2403523,1592967,1572667,-2527659,-124136,-3342950,42380184,2739748,23488164,1569236,22240134,20112760,15655710,15611960,1003573,38140300,4776757,-1255846,-1741123,E
7620842,6667565,460794,269634,7925,7925,269857,539491,355276,4514619,1988589,595372,131729,2934352,1565860,1859855,1859855,595372,1859855,770506,624910,163528,A
4672827,1048534,353529,1031204,753269,753269,2237370,3268574,998479,29345488,4139016,22542664,12247,28706148,548538,2663191,1223931,23981924,1223931,28553,2011624,1992540,E
22654086,21044060,1002829,200318,316435,289435,412128,612446,165141,10423951,1482092,2645738,33759,2057251,8108738,6152235,6152235,33260,8764713,1276771,165141,2027255,E
25954460,23612358,1546367,663140,103520,103520,164254,827394,562989,35455632,31358944,0,1405123,28844076,6585680,3608215,3606715,473789,3606715,3219530,974512,1484298,A
2834282,1808171,1101911,110170,243,243,-21159,89011,7081,2134279,1487584,0,108122,1048078,1068650,502812,502812,0,502812,119010,107108,61138,A
29029016,17584190,10309999,1860852,2394710,1061337,-2469135,-608283,-5351599,72016328,39175152,20040964,2832148,55124964,16730785,7463729,7463729,14285634,15227378,6201996,-3742211,-1043812,E
11117214,4977368,4029398,1070208,809684,0,1088888,2159096,354926,7631300,3657521,1822204,63695,3827057,3804243,1572621,1572621,0,3394825,113593,1425134,1539488,A
5681791,4972912,544151,88893,41554,41554,199477,288370,139957,2998098,848162,1072287,107735,1054571,1938018,1077649,1077649,1001910,1148026,411732,189293,234848,A
3518154,2966278,427621,142996,58869,58869,-31961,111035,-81831,2497014,359852,867365,5262,1329393,1166034,1269797,1269507,329636,1807526,791365,17117,137774,E
