@relation 'if(A1>0.5 || A2>0.7 || A3<0.4) then 1 else 0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 and A2==B2of2-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 and A3==B2of2-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 and A3==B2of2-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 or A2==B2of2-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 or A3==B2of2-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 or A3==B2of2-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 equ A2==B2of2-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 equ A3==B2of2-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 equ A3==B2of2-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 xor A2==B2of2-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 xor A3==B2of2-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 xor A3==B2of2-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 impl A2==B2of2-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 impl A3==B2of2-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 impl A3==B2of2-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 and A2==B2of2 and A3==B2of2-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 or A2==B2of2 or A3==B2of2-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A1 <= 0.5) and (A3 >= 0.4)-L0,1-C23-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A1 <= 0.5) and (A2 <= 0.7)-L0,1-C24-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11)-L0,1-C25-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)-L0,1-C26-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A1 <= 0.5) and (A3 >= 0.4))-L0,1,2-C27-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A1 <= 0.5) and (A2 <= 0.7))-L0,1,2-C28-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11))-L0,1,2,3-C29-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))-L0,1,2,3-C30-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A2-C31-W1.0-weka.filters.unsupervised.attribute.Add-NA2 ADD A3-C32-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A3-C33-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A2-C34-W1.0-weka.filters.unsupervised.attribute.Add-NA2 SUBTRACT A3-C35-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A3-C36-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A2-C37-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A1-C38-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A3-C39-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A2-C40-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A3-C41-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A1-C42-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A2-C43-W1.0-weka.filters.unsupervised.attribute.Add-NA2 MULTIPLY A3-C44-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A3-C45-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A2-L0,1-C46-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 LESSTHAN A3-L0,1-C47-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A3-L0,1-C48-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A2-L0,1-C49-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 DIFF A3-L0,1-C50-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A3-L0,1-C51-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L\'(-inf-0.505]\'_x_\'(-inf-0.705]\',\'(-inf-0.505]\'_x_\'(0.705-inf)\',\'(0.505-inf)\'_x_\'(-inf-0.705]\',\'(0.505-inf)\'_x_\'(0.705-inf)\'-C52-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L\'(-inf-0.705]\'_x_\'(-inf-0.395]\',\'(-inf-0.705]\'_x_\'(0.395-inf)\',\'(0.705-inf)\'_x_\'(-inf-0.395]\',\'(0.705-inf)\'_x_\'(0.395-inf)\'-C53-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L\'(-inf-0.505]\'_x_\'(-inf-0.395]\',\'(-inf-0.505]\'_x_\'(0.395-inf)\',\'(0.505-inf)\'_x_\'(-inf-0.395]\',\'(0.505-inf)\'_x_\'(0.395-inf)\'-C54-W1.0'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute 'A1==B2of2 and A2==B2of2' {0,1}
@attribute 'A2==B2of2 and A3==B2of2' {0,1}
@attribute 'A1==B2of2 and A3==B2of2' {0,1}
@attribute 'A1==B2of2 or A2==B2of2' {0,1}
@attribute 'A2==B2of2 or A3==B2of2' {0,1}
@attribute 'A1==B2of2 or A3==B2of2' {0,1}
@attribute 'A1==B2of2 equ A2==B2of2' {0,1}
@attribute 'A2==B2of2 equ A3==B2of2' {0,1}
@attribute 'A1==B2of2 equ A3==B2of2' {0,1}
@attribute 'A1==B2of2 xor A2==B2of2' {0,1}
@attribute 'A2==B2of2 xor A3==B2of2' {0,1}
@attribute 'A1==B2of2 xor A3==B2of2' {0,1}
@attribute 'A1==B2of2 impl A2==B2of2' {0,1}
@attribute 'A2==B2of2 impl A3==B2of2' {0,1}
@attribute 'A1==B2of2 impl A3==B2of2' {0,1}
@attribute 'A1==B2of2 and A2==B2of2 and A3==B2of2' {0,1}
@attribute 'A1==B2of2 or A2==B2of2 or A3==B2of2' {0,1}
@attribute '(A1 <= 0.5) and (A3 >= 0.4)' {0,1}
@attribute '(A1 <= 0.5) and (A2 <= 0.7)' {0,1}
@attribute '(A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11)' {0,1}
@attribute '(A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)' {0,1}
@attribute 'num-of-N((A1 <= 0.5) and (A3 >= 0.4))' {0,1,2}
@attribute 'num-of-N((A1 <= 0.5) and (A2 <= 0.7))' {0,1,2}
@attribute 'num-of-N((A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11))' {0,1,2,3}
@attribute 'num-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))' {0,1,2,3}
@attribute 'A1 ADD A2' numeric
@attribute 'A2 ADD A3' numeric
@attribute 'A1 ADD A3' numeric
@attribute 'A1 SUBTRACT A2' numeric
@attribute 'A2 SUBTRACT A3' numeric
@attribute 'A1 SUBTRACT A3' numeric
@attribute 'A1 DIVIDE A2' numeric
@attribute 'A2 DIVIDE A1' numeric
@attribute 'A2 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A2' numeric
@attribute 'A1 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A1' numeric
@attribute 'A1 MULTIPLY A2' numeric
@attribute 'A2 MULTIPLY A3' numeric
@attribute 'A1 MULTIPLY A3' numeric
@attribute 'A1 LESSTHAN A2' {0,1}
@attribute 'A2 LESSTHAN A3' {0,1}
@attribute 'A1 LESSTHAN A3' {0,1}
@attribute 'A1 DIFF A2' {0,1}
@attribute 'A2 DIFF A3' {0,1}
@attribute 'A1 DIFF A3' {0,1}
@attribute A1_x_A2 {'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(0.505-inf)\'_x_\'(0.705-inf)\''}
@attribute A2_x_A3 {'\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(0.705-inf)\'_x_\'(0.395-inf)\''}
@attribute A1_x_A3 {'\'(-inf-0.505]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(0.395-inf)\''}
@attribute class {0,1}

@data
0.53,0.1,0.44,0.7,0.01,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,2,2,0.63,0.54,0.97,0.43,-0.34,0.09,5.3,0.188679,0.227273,4.4,1.204545,0.830189,0.053,0.044,0.2332,0,1,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.08,0.28,0.6,0.84,0.84,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.36,0.88,0.68,-0.2,-0.32,-0.52,0.285714,3.5,0.466667,2.142857,0.133333,7.5,0.0224,0.168,0.048,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.34,0.13,0.05,0.37,0.39,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.47,0.18,0.39,0.21,0.08,0.29,2.615385,0.382353,2.6,0.384615,6.8,0.147059,0.0442,0.0065,0.017,0,0,0,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.91,0.84,0.65,0.34,0.62,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,1,1.75,1.49,1.56,0.07,0.19,0.26,1.083333,0.923077,1.292308,0.77381,1.4,0.714286,0.7644,0.546,0.5915,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.58,0.21,0.19,0.01,0.95,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,0.79,0.4,0.77,0.37,0.02,0.39,2.761905,0.362069,1.105263,0.904762,3.052632,0.327586,0.1218,0.0399,0.1102,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.14,0.43,0.78,0.61,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.57,1.21,0.92,-0.29,-0.35,-0.64,0.325581,3.071429,0.551282,1.813953,0.179487,5.571429,0.0602,0.3354,0.1092,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.24,0.45,0.28,0.9,0.48,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.69,0.73,0.52,-0.21,0.17,-0.04,0.533333,1.875,1.607143,0.622222,0.857143,1.166667,0.108,0.126,0.0672,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.51,0.46,0.97,1,0.75,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,3,2,0.97,1.43,1.48,0.05,-0.51,-0.46,1.108696,0.901961,0.474227,2.108696,0.525773,1.901961,0.2346,0.4462,0.4947,0,1,1,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.76,0.5,0.77,0.04,0.43,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,3,2,1.26,1.27,1.53,0.26,-0.27,-0.01,1.52,0.657895,0.649351,1.54,0.987013,1.013158,0.38,0.385,0.5852,0,1,1,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.41,0.37,0.6,0.22,0.09,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.78,0.97,1.01,0.04,-0.23,-0.19,1.108108,0.902439,0.616667,1.621622,0.683333,1.463415,0.1517,0.222,0.246,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.07,0.4,0.24,0.49,0.37,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.47,0.64,0.31,-0.33,0.16,-0.17,0.175,5.714286,1.666667,0.6,0.291667,3.428571,0.028,0.096,0.0168,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.4,0.24,0.96,0.09,0.81,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.64,1.2,1.36,0.16,-0.72,-0.56,1.666667,0.6,0.25,4,0.416667,2.4,0.096,0.2304,0.384,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.97,0.3,0.15,0.13,0.97,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1.27,0.45,1.12,0.67,0.15,0.82,3.233333,0.309278,2,0.5,6.466667,0.154639,0.291,0.045,0.1455,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.67,0.7,0.95,0.09,0.98,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,2,2,1.37,1.65,1.62,-0.03,-0.25,-0.28,0.957143,1.044776,0.736842,1.357143,0.705263,1.41791,0.469,0.665,0.6365,1,1,1,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.15,0.71,0.89,0.35,0.67,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,0.86,1.6,1.04,-0.56,-0.18,-0.74,0.211268,4.733333,0.797753,1.253521,0.168539,5.933333,0.1065,0.6319,0.1335,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.48,0.7,0.78,0.03,0.65,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,2,2,2,3,1.18,1.48,1.26,-0.22,-0.08,-0.3,0.685714,1.458333,0.897436,1.114286,0.615385,1.625,0.336,0.546,0.3744,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.49,0.83,0.39,0.95,0.78,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1.32,1.22,0.88,-0.34,0.44,0.1,0.590361,1.693878,2.128205,0.46988,1.25641,0.795918,0.4067,0.3237,0.1911,1,0,0,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.58,0.69,0.83,0.74,0.63,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,2,2,1.27,1.52,1.41,-0.11,-0.14,-0.25,0.84058,1.189655,0.831325,1.202899,0.698795,1.431034,0.4002,0.5727,0.4814,1,1,1,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.53,0.77,0.42,0.24,0.9,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1.3,1.19,0.95,-0.24,0.35,0.11,0.688312,1.45283,1.833333,0.545455,1.261905,0.792453,0.4081,0.3234,0.2226,1,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.89,0.42,0.24,0.95,0.76,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1.31,0.66,1.13,0.47,0.18,0.65,2.119048,0.47191,1.75,0.571429,3.708333,0.269663,0.3738,0.1008,0.2136,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.2,0.1,0.49,0.62,0.41,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,2,2,2,3,0.3,0.59,0.69,0.1,-0.39,-0.29,2,0.5,0.204082,4.9,0.408163,2.45,0.02,0.049,0.098,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.55,0.02,0.23,0.73,0.26,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0.57,0.25,0.78,0.53,-0.21,0.32,27.5,0.036364,0.086957,11.5,2.391304,0.418182,0.011,0.0046,0.1265,0,1,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.84,0.89,0.01,0.5,0.75,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.73,0.9,0.85,-0.05,0.88,0.83,0.94382,1.059524,89,0.011236,84,0.011905,0.7476,0.0089,0.0084,1,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.43,0.05,0.96,0.84,0.28,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,2,2,2,3,0.48,1.01,1.39,0.38,-0.91,-0.53,8.6,0.116279,0.052083,19.2,0.447917,2.232558,0.0215,0.048,0.4128,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.59,0.35,0.39,0.79,0.43,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,0.94,0.74,0.98,0.24,-0.04,0.2,1.685714,0.59322,0.897436,1.114286,1.512821,0.661017,0.2065,0.1365,0.2301,0,1,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.47,0.21,0.7,0.52,0.14,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.68,0.91,1.17,0.26,-0.49,-0.23,2.238095,0.446809,0.3,3.333333,0.671429,1.489362,0.0987,0.147,0.329,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.11,0.26,0.18,0.18,0.71,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.37,0.44,0.29,-0.15,0.08,-0.07,0.423077,2.363636,1.444444,0.692308,0.611111,1.636364,0.0286,0.0468,0.0198,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.16,0.71,0.97,0.77,0.89,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,0.87,1.68,1.13,-0.55,-0.26,-0.81,0.225352,4.4375,0.731959,1.366197,0.164948,6.0625,0.1136,0.6887,0.1552,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.12,0.63,0.32,0.13,0.04,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.75,0.95,0.44,-0.51,0.31,-0.2,0.190476,5.25,1.96875,0.507937,0.375,2.666667,0.0756,0.2016,0.0384,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.09,0.27,0.53,0.36,0.77,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.36,0.8,0.62,-0.18,-0.26,-0.44,0.333333,3,0.509434,1.962963,0.169811,5.888889,0.0243,0.1431,0.0477,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.62,0.93,0.99,0.01,0.75,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,1,1.55,1.92,1.61,-0.31,-0.06,-0.37,0.666667,1.5,0.939394,1.064516,0.626263,1.596774,0.5766,0.9207,0.6138,1,1,1,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.8,0.11,0.42,0.37,0.05,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,2,2,0.91,0.53,1.22,0.69,-0.31,0.38,7.272727,0.1375,0.261905,3.818182,1.904762,0.525,0.088,0.0462,0.336,0,1,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.44,0.6,0.84,0.41,0.74,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,1.04,1.44,1.28,-0.16,-0.24,-0.4,0.733333,1.363636,0.714286,1.4,0.52381,1.909091,0.264,0.504,0.3696,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.97,0.89,0.02,0.62,0.25,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.86,0.91,0.99,0.08,0.87,0.95,1.089888,0.917526,44.5,0.022472,48.5,0.020619,0.8633,0.0178,0.0194,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.03,0.85,0.45,0.2,0.65,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,0.88,1.3,0.48,-0.82,0.4,-0.42,0.035294,28.333333,1.888889,0.529412,0.066667,15,0.0255,0.3825,0.0135,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.3,0.41,0.63,0.5,0.34,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.71,1.04,0.93,-0.11,-0.22,-0.33,0.731707,1.366667,0.650794,1.536585,0.47619,2.1,0.123,0.2583,0.189,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.09,0.34,0.92,0.47,0.95,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.43,1.26,1.01,-0.25,-0.58,-0.83,0.264706,3.777778,0.369565,2.705882,0.097826,10.222222,0.0306,0.3128,0.0828,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.69,0.7,0.48,0.32,0.64,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,2,2,1.39,1.18,1.17,-0.01,0.22,0.21,0.985714,1.014493,1.458333,0.685714,1.4375,0.695652,0.483,0.336,0.3312,1,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
